Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,9,0,0
1/24/20,15,0,0
1/25/20,39,0,0
1/26/20,60,0,0
1/27/20,70,0,0
1/28/20,106,0,0
1/29/20,152,0,2
1/30/20,200,0,2
1/31/20,237,0,3
2/1/20,297,0,5
2/2/20,340,0,7
2/3/20,408,0,14
2/4/20,480,0,20
2/5/20,530,0,23
2/6/20,591,0,34
2/7/20,665,0,47
2/8/20,733,0,59
2/9/20,779,1,72
2/10/20,830,3,88
2/11/20,860,4,105
2/12/20,889,4,127
2/13/20,910,5,157
2/14/20,934,6,193
2/15/20,950,6,221
2/16/20,962,6,255
2/17/20,973,6,280
2/18/20,982,6,361
2/19/20,986,6,413
2/20/20,987,6,474
2/21/20,988,6,539
2/22/20,989,6,597
2/23/20,989,6,637
2/24/20,989,6,663
2/25/20,989,6,712
2/26/20,989,6,744
2/27/20,989,6,792
2/28/20,990,6,821
2/29/20,990,6,868
3/1/20,990,6,873
3/2/20,990,6,917
3/3/20,990,6,936
3/4/20,990,6,956
3/5/20,990,6,970
3/6/20,990,6,979
3/7/20,990,6,979
3/8/20,990,6,984
3/9/20,990,6,984
3/10/20,990,6,984
3/11/20,990,6,984
3/12/20,990,6,984
3/13/20,990,6,984
3/14/20,990,6,984
3/15/20,990,6,984
3/16/20,990,6,984
3/17/20,990,6,984
3/18/20,990,6,984
3/19/20,990,6,984
3/20/20,990,6,984
3/21/20,990,6,984
3/22/20,990,6,984
3/23/20,990.0,6.0,984.0
