Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,5,0,0
1/28/20,10,0,0
1/29/20,13,0,0
1/30/20,14,0,0
1/31/20,17,0,0
2/1/20,18,0,0
2/2/20,21,0,0
2/3/20,24,0,0
2/4/20,29,0,0
2/5/20,32,0,0
2/6/20,36,0,0
2/7/20,39,0,0
2/8/20,42,0,0
2/9/20,45,0,0
2/10/20,49,0,0
2/11/20,55,0,3
2/12/20,59,0,3
2/13/20,63,1,6
2/14/20,65,1,6
2/15/20,70,1,10
2/16/20,71,1,12
2/17/20,75,1,12
2/18/20,76,1,12
2/19/20,76,1,20
2/20/20,76,1,22
2/21/20,76,1,24
2/22/20,76,2,25
2/23/20,76,2,28
2/24/20,76,2,30
2/25/20,76,2,30
2/26/20,76,2,34
2/27/20,76,2,43
2/28/20,76,3,52
2/29/20,76,3,62
3/1/20,76,3,64
3/2/20,76,3,66
3/3/20,76,3,68
3/4/20,76,3,69
3/5/20,76,3,70
3/6/20,76,3,71
3/7/20,76,3,72
3/8/20,76,3,73
3/9/20,76,3,73
3/10/20,76,3,73
3/11/20,76,3,73
3/12/20,76,3,73
3/13/20,76,3,73
3/14/20,76,3,73
3/15/20,76,3,73
3/16/20,76,3,73
3/17/20,76,3,73
3/18/20,76,3,73
3/19/20,76,3,73
3/20/20,76,3,73
3/21/20,76,3,73
3/22/20,76,3,73
3/23/20,76.0,3.0,73.0
