Date,Confirmed,Deaths,Recovered
1/22/20,444,17,28
1/23/20,444,17,28
1/24/20,549,24,31
1/25/20,761,40,32
1/26/20,1058,52,42
1/27/20,1423,76,45
1/28/20,3554,125,80
1/29/20,3554,125,88
1/30/20,4903,162,90
1/31/20,5806,204,141
2/1/20,7153,249,168
2/2/20,11177,350,295
2/3/20,13522,414,386
2/4/20,16678,479,522
2/5/20,19665,549,633
2/6/20,22112,618,817
2/7/20,24953,699,1115
2/8/20,27100,780,1439
2/9/20,29631,871,1795
2/10/20,31728,974,2222
2/11/20,33366,1068,2639
2/12/20,33366,1068,2686
2/13/20,48206,1310,3459
2/14/20,54406,1457,4774
2/15/20,56249,1596,5623
2/16/20,58182,1696,6639
2/17/20,59989,1789,7862
2/18/20,61682,1921,9128
2/19/20,62031,2029,10337
2/20/20,62442,2144,11788
2/21/20,62662,2144,11881
2/22/20,64084,2346,15299
2/23/20,64084,2346,15343
2/24/20,64287,2495,16748
2/25/20,64786,2563,18971
2/26/20,65187,2615,20969
2/27/20,65596,2641,23383
2/28/20,65914,2682,26403
2/29/20,66337,2727,28993
3/1/20,66907,2761,31536
3/2/20,67103,2803,33934
3/3/20,67217,2835,36208
3/4/20,67332,2871,38557
3/5/20,67466,2902,40592
3/6/20,67592,2931,42033
3/7/20,67666,2959,43500
3/8/20,67707,2986,45235
3/9/20,67743,3008,46488
3/10/20,67760,3024,47743
3/11/20,67773,3046,49134
3/12/20,67781,3056,50318
3/13/20,67786,3062,51553
3/14/20,67790,3075,52960
3/15/20,67794,3085,54288
3/16/20,67798,3099,55142
3/17/20,67799,3111,56003
3/18/20,67800,3122,56927
3/19/20,67800,3130,57682
3/20/20,67800,3133,58382
3/21/20,67800,3139,58946
3/22/20,67800,3144,59433
3/23/20,67800.0,3153.0,59879.0
