Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,4,0,0
1/30/20,4,0,0
1/31/20,4,0,0
2/1/20,4,0,0
2/2/20,5,0,0
2/3/20,5,0,0
2/4/20,5,0,0
2/5/20,5,0,0
2/6/20,5,0,0
2/7/20,5,0,0
2/8/20,7,0,0
2/9/20,7,0,0
2/10/20,8,0,0
2/11/20,8,0,0
2/12/20,8,0,1
2/13/20,8,0,1
2/14/20,8,0,1
2/15/20,8,0,3
2/16/20,9,0,4
2/17/20,9,0,4
2/18/20,9,0,4
2/19/20,9,0,4
2/20/20,9,0,4
2/21/20,9,0,4
2/22/20,13,0,4
2/23/20,13,0,4
2/24/20,13,0,4
2/25/20,13,0,4
2/26/20,13,0,4
2/27/20,13,0,4
2/28/20,19,0,5
2/29/20,21,0,5
3/1/20,21,0,5
3/2/20,21,0,5
3/3/20,27,0,5
3/4/20,27,0,5
3/5/20,29,0,5
3/6/20,29,0,5
3/7/20,45,0,7
3/8/20,45,0,7
3/9/20,45,0,7
3/10/20,74,0,12
3/11/20,74,0,17
3/12/20,85,0,17
3/13/20,85,0,17
3/14/20,85,0,17
3/15/20,98,0,23
3/16/20,98,0,23
3/17/20,98,0,23
3/18/20,113,0,26
3/19/20,140,0,31
3/20/20,140,2,31
3/21/20,153,2,38
3/22/20,153,2,38
3/23/20,153.0,2.0,38.0
