Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,3,0,0
1/27/20,3,0,0
1/28/20,4,0,0
1/29/20,5,0,0
1/30/20,5,0,0
1/31/20,5,0,0
2/1/20,6,0,0
2/2/20,6,0,0
2/3/20,6,0,0
2/4/20,6,0,0
2/5/20,6,0,0
2/6/20,6,0,0
2/7/20,6,0,0
2/8/20,11,0,0
2/9/20,11,0,0
2/10/20,11,0,0
2/11/20,11,0,0
2/12/20,11,0,2
2/13/20,11,0,2
2/14/20,11,0,2
2/15/20,12,1,4
2/16/20,12,1,4
2/17/20,12,1,4
2/18/20,12,1,4
2/19/20,12,1,4
2/20/20,12,1,4
2/21/20,12,1,4
2/22/20,12,1,4
2/23/20,12,1,4
2/24/20,12,1,4
2/25/20,14,1,11
2/26/20,18,2,11
2/27/20,38,2,11
2/28/20,57,2,11
2/29/20,100,2,12
3/1/20,130,2,12
3/2/20,191,3,12
3/3/20,204,4,12
3/4/20,288,4,12
3/5/20,380,6,12
3/6/20,656,9,12
3/7/20,957,11,12
3/8/20,1134,19,12
3/9/20,1217,19,12
3/10/20,1792,33,12
3/11/20,2290,48,12
3/12/20,2290,48,12
3/13/20,3678,79,12
3/14/20,4487,91,12
3/15/20,4523,91,12
3/16/20,6668,148,12
3/17/20,7699,148,12
3/18/20,9105,148,12
3/19/20,10947,243,12
3/20/20,12726,450,12
3/21/20,14431,562,12
3/22/20,16176,674,2206
3/23/20,16044.0,674.0,2200.0
